Black Bear Diner,,,pet
Morning Glory Espresso,,,pet
Patty Jewett Bar & Grill,,,pet
King's Chef Diner,,,pet
C. B. & Potts Bighorn Brewing Company,,,pet
The Egg & I,,,pet
Ted's Montana Grill,,,pet
Odyssey Gastropub,,,pet
Bingo Burger,,,pet
Colorado Smokehouse,,,pet
Paravicini's,,,pet
The Wobbly Olive,,,pet
English Dockside,,,pet
The Old School Bakery,,,pet
The Coffee Exchange,,,pet
BJs Restaurant & Brewhouse,,,
C.B. & Potts Restaurant & Brewery,,,
Colorado Mountain Brewery - Interquest Location,,,
Goat Patch Brewing,,,
Jaks Brewing,,,
Nano 108 Brewing Company,,,
Peaks N Pines Brewery Company,,,
Pikes Peak Brewing Co.,,,
Rock Bottom Brewery,,,
Whistle Pig Brewing,,,
Red Leg Brewing Company,,,
Trinity Brewing Company,,,
Fieldhouse Brewing Company,,,
Iron Bird Brewing,,,
Local Relic,,,
Oskar Blues,,,
Phantom Canyon Brewing Co.,,,
Cogstone Brewing Company,,,
Dueces Wild Brewery,,,
Goldcamp Brewing Company,,,
Rocky Mountain Brewery,,,
Storybook Brewing Co.,,,
Metric Brewing,,,
Bristol Brewing Company,,,
Must Try Pint,,,
Colorado Mountain Brewery - Roundhouse Location,,,
Fossil Craft Beer Company,,,
Manitou Brewing Company,,,
Bierwerks,,,
Paradox Beer Company,,,
Ute Pass Brewing Company,,,
"Jack Quinnâ€™s Irish Pub & Restaurant,",http://www.jackquinnspub.com/,patio,
Front Range Barbeque,http://www.frontrangebarbeque.com/,patio,
3 Margaritas,http://3margaritascosprings.com/,patio,
503W,http://www.503w.co/,patio,
Salsa Brava Fresh Mexican Grill (Briargate),http://salsabravacolorado.com/,patio,
Colorado Mountain Brewery - Roundhouse,http://www.cmbrew.com/,patio,
Flatironâ€™s American Bar & Grill,http://www.flatirons.biz/,patio,
Coquetteâ€™s Bistro and Bakery,http://www.coquettesbistroandbakery.com/,patio,
Oskar Blues,http://www.oskarbluesfooderies.com/,patio,
TAPAteria,http://www.tapateria.com/,patio,
Jose Muldoonâ€™s Food & Drink East (Powers Blvd),http://www.josemuldoons.com/,patio,
Hacienda Colorado,http://www.haciendacolorado.com/,patio,
Old Colorado City,http://shopoldcoloradocity.com/,patio,
Ivywild School,http://www.ivywildschool.com/,patio,
Phantom Canyon Brewing Company,http://www.phantomcanyon.com/,patio,
La Casa Fiesta New Mexican Restaurant,http://www.lacasafiesta.net/,patio,
Salsa Brava Fresh Mexican Grill (Powers),https://salsabravacolorado.com/,patio,
Jose Muldoonâ€™s Food & Drink Downtown,http://www.josemuldoons.com/,patio,
Springs Orleans,http://www.springsorleans.com/,patio,
Sonterra Innovative Southwest Grill,http://www.sonterragrill.com/,patio,
Salsa Brava Fresh Mexican Grill (Rockrimmon),http://salsabravacolorado.com/,patio,
Thunder and Buttons II Restaurant/Tavern,http://www.thunderandbuttons.com/,patio,
"Jack Quinnâ€™s Irish Pub & Restaurant,",http://www.jackquinnspub.com/,patio,
Front Range Barbeque,http://www.frontrangebarbeque.com/,patio,
3 Margaritas,http://3margaritascosprings.com/,patio,
503W,http://www.503w.co/,patio,
Salsa Brava Fresh Mexican Grill (Briargate),http://salsabravacolorado.com/,patio,
Colorado Mountain Brewery - Roundhouse,http://www.cmbrew.com/,patio,
Flatironâ€™s American Bar & Grill,http://www.flatirons.biz/,patio,
Coquetteâ€™s Bistro and Bakery,http://www.coquettesbistroandbakery.com/,patio,
Oskar Blues,http://www.oskarbluesfooderies.com/,patio,
TAPAteria,http://www.tapateria.com/,patio,
Jose Muldoonâ€™s Food & Drink East (Powers Blvd),http://www.josemuldoons.com/,patio,
Hacienda Colorado,http://www.haciendacolorado.com/,patio,
Old Colorado City,http://shopoldcoloradocity.com/,patio,
Ivywild School,http://www.ivywildschool.com/,patio,
Phantom Canyon Brewing Company,http://www.phantomcanyon.com/,patio,
La Casa Fiesta New Mexican Restaurant,http://www.lacasafiesta.net/,patio,
Salsa Brava Fresh Mexican Grill (Powers),https://salsabravacolorado.com/,patio,
Jose Muldoonâ€™s Food & Drink Downtown,http://www.josemuldoons.com/,patio,
Springs Orleans,http://www.springsorleans.com/,patio,
Sonterra Innovative Southwest Grill,http://www.sonterragrill.com/,patio,
Salsa Brava Fresh Mexican Grill (Rockrimmon),http://salsabravacolorado.com/,patio,
Thunder and Buttons II Restaurant/Tavern,http://www.thunderandbuttons.com/,patio,
Prime25,http://www.prime25.com/,happy hour,
Crystal Park Cantina,http://www.crystalparkcantina.com/,happy hour,
"Cliff House at Pikes Peak, The",http://www.thecliffhouse.com/,happy hour,
"Warehouse Restaurant and Gallery, The",http://www.thewarehouserestaurant.com/,happy hour,
MacKenzie’s Chop House,http://mackenzieschophouse.com/,happy hour,
Prime25,http://www.prime25.com/,patio,
Crystal Park Cantina,http://www.crystalparkcantina.com/,patio,
"Cliff House at Pikes Peak, The",http://www.thecliffhouse.com/,patio,
"Warehouse Restaurant and Gallery, The",http://www.thewarehouserestaurant.com/,patio,
MacKenzie’s Chop House,http://mackenzieschophouse.com/,patio,
La Casa Fiesta - International,http://lacasafiesta.net/,happy hour,
Salsa Brava Fresh Mexican Grill (Powers),https://salsabravacolorado.com/,happy hour,
3 Margaritas,http://3margaritascosprings.com/,happy hour,
Salsa Brava Fresh Mexican Grill (Briargate),http://salsabravacolorado.com/,happy hour,
Salsa Brava Fresh Mexican Grill (Powers),https://salsabravacolorado.com/,happy hour,
Jose Muldoon’s Food & Drink East (Powers Blvd),http://www.josemuldoons.com/,happy hour,
Hacienda Colorado,http://www.haciendacolorado.com/,happy hour,
Jose Muldoon’s Food & Drink Downtown,http://www.josemuldoons.com/,happy hour,
Coquette’s Bistro and Bakery,http://www.coquettesbistroandbakery.com/,happy hour,
Salsa Brava Fresh Mexican Grill (Rockrimmon),http://salsabravacolorado.com/,happy hour,
TAPAteria,http://www.tapateria.com/,happy hour,
La Casa Fiesta - International,http://lacasafiesta.net/,patio,
Salsa Brava Fresh Mexican Grill (Powers),https://salsabravacolorado.com/,patio,
3 Margaritas,http://3margaritascosprings.com/,patio,
Salsa Brava Fresh Mexican Grill (Briargate),http://salsabravacolorado.com/,patio,
Salsa Brava Fresh Mexican Grill (Powers),https://salsabravacolorado.com/,patio,
Jose Muldoon’s Food & Drink East (Powers Blvd),http://www.josemuldoons.com/,patio,
Hacienda Colorado,http://www.haciendacolorado.com/,patio,
Jose Muldoon’s Food & Drink Downtown,http://www.josemuldoons.com/,patio,
Coquette’s Bistro and Bakery,http://www.coquettesbistroandbakery.com/,patio,
Salsa Brava Fresh Mexican Grill (Rockrimmon),http://salsabravacolorado.com/,patio,
TAPAteria,http://www.tapateria.com/,patio,
